iter	Logloss
0	0.6768013982
1	0.6600102252
2	0.6444183258
3	0.6313118628
4	0.6177733761
5	0.6057224213
6	0.5946076087
7	0.5848507463
8	0.5756770172
9	0.5670411391
10	0.5581995404
11	0.5502065719
12	0.5435340377
13	0.5362563234
14	0.5295353057
15	0.5247631708
16	0.5180985413
17	0.512174322
18	0.506937548
19	0.5025764209
20	0.4974637041
21	0.4931048371
22	0.4884175756
23	0.4839603591
24	0.4800867478
25	0.4765528174
26	0.4729514102
27	0.470477031
28	0.4675068
29	0.464467857
30	0.4620156797
31	0.4595224541
32	0.4576314607
33	0.45532277
34	0.4533614284
35	0.4511989654
36	0.4491194241
37	0.4471922698
38	0.445692634
39	0.443930336
40	0.4424485956
41	0.4408305575
42	0.4396512558
43	0.4379984474
44	0.4366256263
45	0.4352827622
46	0.4337932903
47	0.4324192344
48	0.4312278457
49	0.4300339354
50	0.4288592802
51	0.4277974125
52	0.4269099224
53	0.4258803693
54	0.424712745
55	0.4238120408
56	0.4231354971
57	0.4223087238
58	0.4215792836
59	0.4208202133
60	0.4200936753
61	0.4198145189
62	0.4191348119
63	0.4183869645
64	0.4180283086
65	0.4174289506
66	0.4169325494
67	0.4166488836
68	0.4160871585
69	0.4154866325
70	0.414920658
71	0.4147200029
72	0.4142225144
73	0.4137280592
74	0.4132271606
75	0.4127736603
76	0.4124518339
77	0.4120811428
78	0.4117350629
79	0.4112238691
80	0.4110151412
81	0.4107400713
82	0.4102503038
83	0.4098443112
84	0.4095331176
85	0.409169574
86	0.4088652447
87	0.4084756712
88	0.4082066747
89	0.4079267147
90	0.4076322651
91	0.4072777143
92	0.4070925044
93	0.4069756268
94	0.4066700518
95	0.4064051906
96	0.4060446164
97	0.4058236621
98	0.4055969389
99	0.4052903581
100	0.4050193544
101	0.4048666745
102	0.4046871162
103	0.4043969605
104	0.4042250927
105	0.4040823079
106	0.4037762277
107	0.4035885127
108	0.403433712
109	0.4032294211
110	0.4029043403
111	0.4026429459
112	0.4023058118
113	0.4021426786
114	0.4019901229
115	0.4019339344
116	0.4017939889
117	0.4014347477
118	0.4012550808
119	0.4010391455
120	0.4007995667
121	0.4006126444
122	0.4003538169
123	0.4002052897
124	0.4000412023
125	0.3998580868
126	0.399768947
127	0.3996483133
128	0.3995152744
129	0.3995113703
130	0.3992923494
131	0.3991463201
132	0.3989037698
133	0.3988023839
134	0.3986649366
135	0.3986601771
136	0.3985046838
137	0.3983553763
138	0.3983536773
139	0.3982531234
140	0.3979721608
141	0.3977129387
142	0.3975957079
143	0.3974080266
144	0.3971185886
145	0.3969097
146	0.3968732367
147	0.3968705431
148	0.3967372744
149	0.396711753
150	0.3966358667
151	0.3964915721
152	0.3964873003
153	0.3964533221
154	0.3963390918
155	0.3963383435
156	0.3963057393
157	0.3961794156
158	0.3961785286
159	0.3960125882
160	0.3960119117
161	0.3957812787
162	0.3957796991
163	0.3955926916
164	0.3955922785
165	0.3954906617
166	0.3952459991
167	0.3952436865
168	0.3951830369
169	0.3951182404
170	0.395117548
171	0.3949470339
172	0.3947994439
173	0.3945660034
174	0.3944775022
175	0.39447721
176	0.3943349906
177	0.3943341925
178	0.3942480794
179	0.3942470281
180	0.3942453783
181	0.3940968762
182	0.3940963909
183	0.3940943167
184	0.3940623189
185	0.3938861057
186	0.3937481593
187	0.3937477246
188	0.3935945253
189	0.3935940906
190	0.3935895644
191	0.3935890489
192	0.3935682117
193	0.3934653557
194	0.3934235885
195	0.3933039869
196	0.3932694419
197	0.3932685741
198	0.3930631331
199	0.3928688411
